[2021-05-18 16:59:10,653][iopath.fb.manifold][INFO] - URL manifold://compphoto_data/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth
[2021-05-18 16:59:13,957][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1Metric object at 0x7fa90e793910>
[2021-05-18 16:59:13,958][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1MaskedMetric object at 0x7fa8ce3e67f0>
[2021-05-18 16:59:13,958][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMetric object at 0x7fa8ce3e6040>
[2021-05-18 16:59:13,958][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMaskedMetric object at 0x7fa8ce3e6a30>
[2021-05-18 16:59:13,958][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.lpips.LPIPSMetric object at 0x7fa8ce3d6220>
[2021-05-18 16:59:13,958][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.ssim.SSIMMetric object at 0x7fa8ce3d6af0>
[2021-05-18 16:59:13,958][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/unpacked.zip was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/unpacked.zip
[2021-05-18 16:59:16,854][iopath.fb.manifold][INFO] - Caching manifold://x3d_svnerf/tree/eval/spaces/synsin.zip ...
[2021-05-18 16:59:18,312][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/synsin.zip cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/synsin.zip
[2021-05-18 16:59:18,758][__main__][INFO] - Pair: pair_000000 l1=0.09386080503463745
[2021-05-18 16:59:18,761][__main__][INFO] - Pair: pair_000000 l1_masked=0.09883978962898254
[2021-05-18 16:59:18,763][__main__][INFO] - Pair: pair_000000 psnr=17.146656036376953
[2021-05-18 16:59:18,766][__main__][INFO] - Pair: pair_000000 psnr_masked=16.922182083129883
