[2021-05-21 12:17:13,198][iopath.fb.manifold][INFO] - Caching manifold://compphoto_data/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth ...
[2021-05-21 12:17:15,307][iopath.fb.manifold][INFO] - URL manifold://compphoto_data/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth
[2021-05-21 12:17:18,309][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1Metric object at 0x7f9949c9d250>
[2021-05-21 12:17:18,309][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1MaskedMetric object at 0x7f9949c9dac0>
[2021-05-21 12:17:18,309][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMetric object at 0x7f9949c9d040>
[2021-05-21 12:17:18,309][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMaskedMetric object at 0x7f9949c9d460>
[2021-05-21 12:17:18,309][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.lpips.LPIPSMetric object at 0x7f9949c9de80>
[2021-05-21 12:17:18,309][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.ssim.SSIMMetric object at 0x7f9949948af0>
[2021-05-21 12:17:18,310][iopath.fb.manifold][INFO] - Caching manifold://x3d_svnerf/tree/eval/spaces/unpacked.zip ...
[2021-05-21 12:17:21,320][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/unpacked.zip cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/unpacked.zip
[2021-05-21 12:17:24,263][iopath.fb.manifold][INFO] - Caching manifold://x3d_svnerf/tree/eval/spaces/gt_warp.zip ...
[2021-05-21 12:17:26,139][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/gt_warp.zip cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/gt_warp.zip
[2021-05-21 12:17:26,543][iopath.fb.manifold][INFO] - Caching manifold://x3d_svnerf/tree/eval/spaces/pixelnerf.zip ...
[2021-05-21 12:17:30,379][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/pixelnerf.zip cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/pixelnerf.zip
[2021-05-21 12:17:31,016][__main__][INFO] - Pair: pair_000000 l1=0.1807888001203537
[2021-05-21 12:17:31,020][__main__][INFO] - Pair: pair_000000 l1_masked=0.2087794542312622
[2021-05-21 12:17:31,021][__main__][INFO] - Pair: pair_000000 psnr=11.756710052490234
[2021-05-21 12:17:31,024][__main__][INFO] - Pair: pair_000000 psnr_masked=11.131547927856445
[2021-05-21 12:17:42,811][__main__][INFO] - Pair: pair_000000 lpips=0.6109763979911804
[2021-05-21 12:17:42,966][__main__][INFO] - Pair: pair_000000 ssim=0.47155192494392395
[2021-05-21 12:17:43,003][__main__][INFO] - Pair: pair_000001 l1=0.19722576439380646
[2021-05-21 12:17:43,006][__main__][INFO] - Pair: pair_000001 l1_masked=0.25591832399368286
[2021-05-21 12:17:43,007][__main__][INFO] - Pair: pair_000001 psnr=10.746475219726562
[2021-05-21 12:17:43,010][__main__][INFO] - Pair: pair_000001 psnr_masked=9.615097999572754
[2021-05-21 12:17:43,028][__main__][INFO] - Pair: pair_000001 lpips=0.5295614004135132
[2021-05-21 12:17:43,210][__main__][INFO] - Pair: pair_000001 ssim=0.5952259302139282
[2021-05-21 12:17:43,245][__main__][INFO] - Pair: pair_000002 l1=0.005927762482315302
[2021-05-21 12:17:43,248][__main__][INFO] - Pair: pair_000002 l1_masked=0.17509697377681732
[2021-05-21 12:17:43,250][__main__][INFO] - Pair: pair_000002 psnr=28.149951934814453
[2021-05-21 12:17:43,253][__main__][INFO] - Pair: pair_000002 psnr_masked=13.446073532104492
[2021-05-21 12:17:43,271][__main__][INFO] - Pair: pair_000002 lpips=0.022167125716805458
