[2021-05-21 03:01:56,369][iopath.fb.manifold][INFO] - URL manifold://compphoto_data/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth
[2021-05-21 03:01:59,551][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1Metric object at 0x7f89e9f9adc0>
[2021-05-21 03:01:59,552][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1MaskedMetric object at 0x7f89e74fdc10>
[2021-05-21 03:01:59,552][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMetric object at 0x7f89e74f1070>
[2021-05-21 03:01:59,552][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMaskedMetric object at 0x7f89e74f1520>
[2021-05-21 03:01:59,552][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.lpips.LPIPSMetric object at 0x7f89e74f15b0>
[2021-05-21 03:01:59,552][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.ssim.SSIMMetric object at 0x7f89e74f1ca0>
[2021-05-21 03:01:59,553][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/unpacked.zip was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/unpacked.zip
[2021-05-21 03:02:02,538][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/gt_warp.zip was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/gt_warp.zip
[2021-05-21 03:02:02,917][iopath.fb.manifold][INFO] - Caching manifold://x3d_svnerf/tree/eval/spaces/ours_f274140594.zip ...
[2021-05-21 03:02:05,583][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/ours_f274140594.zip cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/ours_f274140594.zip
[2021-05-21 03:02:06,060][__main__][INFO] - Pair: pair_000000 l1=0.04844650253653526
[2021-05-21 03:02:06,063][__main__][INFO] - Pair: pair_000000 l1_masked=0.05594724044203758
[2021-05-21 03:02:06,065][__main__][INFO] - Pair: pair_000000 psnr=21.745149612426758
[2021-05-21 03:02:06,068][__main__][INFO] - Pair: pair_000000 psnr_masked=21.11998748779297
[2021-05-21 03:02:06,085][__main__][INFO] - Pair: pair_000000 lpips=0.22836878895759583
[2021-05-21 03:02:06,273][__main__][INFO] - Pair: pair_000000 ssim=0.7492254376411438
[2021-05-21 03:02:06,308][__main__][INFO] - Pair: pair_000001 l1=0.0466829277575016
[2021-05-21 03:02:06,311][__main__][INFO] - Pair: pair_000001 l1_masked=0.06057533621788025
[2021-05-21 03:02:06,312][__main__][INFO] - Pair: pair_000001 psnr=21.550846099853516
[2021-05-21 03:02:06,315][__main__][INFO] - Pair: pair_000001 psnr_masked=20.41946792602539
[2021-05-21 03:02:06,333][__main__][INFO] - Pair: pair_000001 lpips=0.27667349576950073
[2021-05-21 03:02:06,518][__main__][INFO] - Pair: pair_000001 ssim=0.8184711933135986
[2021-05-21 03:02:06,551][__main__][INFO] - Pair: pair_000002 l1=0.006171690300107002
[2021-05-21 03:02:06,553][__main__][INFO] - Pair: pair_000002 l1_masked=0.18230223655700684
[2021-05-21 03:02:06,555][__main__][INFO] - Pair: pair_000002 psnr=27.7376708984375
[2021-05-21 03:02:06,558][__main__][INFO] - Pair: pair_000002 psnr_masked=13.033791542053223
[2021-05-21 03:02:06,575][__main__][INFO] - Pair: pair_000002 lpips=0.021444689482450485
[2021-05-21 03:02:06,771][__main__][INFO] - Pair: pair_000002 ssim=0.9863939881324768
[2021-05-21 03:02:06,805][__main__][INFO] - Pair: pair_000003 l1=0.05811026319861412
[2021-05-21 03:02:06,808][__main__][INFO] - Pair: pair_000003 l1_masked=0.07227525860071182
[2021-05-21 03:02:06,810][__main__][INFO] - Pair: pair_000003 psnr=19.91716194152832
[2021-05-21 03:02:06,812][__main__][INFO] - Pair: pair_000003 psnr_masked=18.96979331970215
[2021-05-21 03:02:06,830][__main__][INFO] - Pair: pair_000003 lpips=0.22535313665866852
[2021-05-21 03:02:07,008][__main__][INFO] - Pair: pair_000003 ssim=0.7360053062438965
[2021-05-21 03:02:07,044][__main__][INFO] - Pair: pair_000004 l1=0.06858694553375244
[2021-05-21 03:02:07,047][__main__][INFO] - Pair: pair_000004 l1_masked=0.08355272561311722
[2021-05-21 03:02:07,048][__main__][INFO] - Pair: pair_000004 psnr=18.832138061523438
[2021-05-21 03:02:07,051][__main__][INFO] - Pair: pair_000004 psnr_masked=17.974945068359375
[2021-05-21 03:02:07,069][__main__][INFO] - Pair: pair_000004 lpips=0.28312814235687256
[2021-05-21 03:02:07,244][__main__][INFO] - Pair: pair_000004 ssim=0.7102813720703125
[2021-05-21 03:02:07,280][__main__][INFO] - Pair: pair_000005 l1=0.05156071111559868
[2021-05-21 03:02:07,283][__main__][INFO] - Pair: pair_000005 l1_masked=0.05368589982390404
[2021-05-21 03:02:07,284][__main__][INFO] - Pair: pair_000005 psnr=21.143808364868164
[2021-05-21 03:02:07,287][__main__][INFO] - Pair: pair_000005 psnr_masked=20.968395233154297
[2021-05-21 03:02:07,305][__main__][INFO] - Pair: pair_000005 lpips=0.2583463191986084
[2021-05-21 03:02:07,480][__main__][INFO] - Pair: pair_000005 ssim=0.7700496315956116
[2021-05-21 03:02:07,516][__main__][INFO] - Pair: pair_000006 l1=0.07149288058280945
[2021-05-21 03:02:07,519][__main__][INFO] - Pair: pair_000006 l1_masked=0.07996789366006851
[2021-05-21 03:02:07,520][__main__][INFO] - Pair: pair_000006 psnr=18.90090560913086
[2021-05-21 03:02:07,523][__main__][INFO] - Pair: pair_000006 psnr_masked=18.41437530517578
[2021-05-21 03:02:07,541][__main__][INFO] - Pair: pair_000006 lpips=0.3805796802043915
[2021-05-21 03:02:07,717][__main__][INFO] - Pair: pair_000006 ssim=0.7320960164070129
[2021-05-21 03:02:07,774][__main__][INFO] - Pair: pair_000007 l1=0.06819430738687515
[2021-05-21 03:02:07,777][__main__][INFO] - Pair: pair_000007 l1_masked=0.07895496487617493
[2021-05-21 03:02:07,779][__main__][INFO] - Pair: pair_000007 psnr=19.563539505004883
[2021-05-21 03:02:07,782][__main__][INFO] - Pair: pair_000007 psnr_masked=18.927228927612305
[2021-05-21 03:02:07,800][__main__][INFO] - Pair: pair_000007 lpips=0.28298521041870117
[2021-05-21 03:02:07,976][__main__][INFO] - Pair: pair_000007 ssim=0.7431120872497559
[2021-05-21 03:02:08,011][__main__][INFO] - Pair: pair_000008 l1=0.0603221133351326
[2021-05-21 03:02:08,015][__main__][INFO] - Pair: pair_000008 l1_masked=0.06336528807878494
[2021-05-21 03:02:08,016][__main__][INFO] - Pair: pair_000008 psnr=20.416297912597656
[2021-05-21 03:02:08,019][__main__][INFO] - Pair: pair_000008 psnr_masked=20.202545166015625
[2021-05-21 03:02:08,037][__main__][INFO] - Pair: pair_000008 lpips=0.3532405495643616
[2021-05-21 03:02:08,214][__main__][INFO] - Pair: pair_000008 ssim=0.722366988658905
[2021-05-21 03:02:08,253][__main__][INFO] - Pair: pair_000009 l1=0.04301709309220314
[2021-05-21 03:02:08,277][__main__][INFO] - Pair: pair_000009 l1_masked=0.059124015271663666
[2021-05-21 03:02:08,279][__main__][INFO] - Pair: pair_000009 psnr=21.854238510131836
[2021-05-21 03:02:08,282][__main__][INFO] - Pair: pair_000009 psnr_masked=20.473007202148438
[2021-05-21 03:02:08,299][__main__][INFO] - Pair: pair_000009 lpips=0.20649780333042145
[2021-05-21 03:02:08,437][__main__][INFO] - Pair: pair_000009 ssim=0.8272557854652405
