[2021-05-21 04:09:55,319][iopath.fb.manifold][INFO] - URL manifold://compphoto_data/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth
[2021-05-21 04:09:58,275][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1Metric object at 0x7efd578534c0>
[2021-05-21 04:09:58,275][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.L1MaskedMetric object at 0x7efd56bb7430>
[2021-05-21 04:09:58,275][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMetric object at 0x7efd56b9eca0>
[2021-05-21 04:09:58,275][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.pixel.PSNRMaskedMetric object at 0x7efd59907fa0>
[2021-05-21 04:09:58,275][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.lpips.LPIPSMetric object at 0x7efd56ba9190>
[2021-05-21 04:09:58,275][__main__][INFO] - Created metric: <x3d.photo3d.inpainting.core.metric.ssim.SSIMMetric object at 0x7efd56a87a30>
[2021-05-21 04:09:58,276][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/unpacked.zip was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/unpacked.zip
[2021-05-21 04:10:01,175][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/gt_warp.zip was already cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/gt_warp.zip
[2021-05-21 04:10:01,539][iopath.fb.manifold][INFO] - Caching manifold://x3d_svnerf/tree/eval/spaces/ours_f274151488.zip ...
[2021-05-21 04:10:03,053][iopath.fb.manifold][INFO] - URL manifold://x3d_svnerf/tree/eval/spaces/ours_f274151488.zip cached in /home/ayush29feb/.torch/iopath_cache/manifold_cache/tree/eval/spaces/ours_f274151488.zip
